1,Interpreter,3
2,Member of Section,2
3,President,0
4,Under Secretary General,1
5,Deputy Secretary General,1
6,Secretary-General,1
7,Expert/Specialist,2
8,Fellow,2
9,Temporary Collaborator,2
10,Cleaner,9
11,Proof-Reader,5
12,Assistant Librarian,6
13,Counsellor,0
14,Acting Director,1
15,Director,1
16,Chairman,0
17,Expert,2
18,Shorthand Typist,6
19,Secretary,4
20,Correspondent,4
21,Head of Department,0
22,Accountant,5
23,Assistant,6
24,Delegate,2
25,Personal Assistant,3
26,Head of Section,1
27,Assistant High Commissioner,2
28,Chief of Section,1
29,Delegate of a Commission,2
30,League of Nations staff,2
31,Translator,3
32,Clerical Assistant,7
33,Assistant Head of Section,4
34,Head of Office,1
35,Recording Secretary,5
36,Précis Writer,3
37,Minute Writer,5
38,High Commissioner,1
39,Assistant Head of Office,6
40,Librarian,6
41,Temporary Correspondent,3
42,Statistician,3
43,Acting Secretary,0
44,Assistant Secretary,6
45,Stenographer,6
46,Interpreter-Translator,3
47,Verbatim Reporter,6
48,Senior Assistant,4
49,Acting Secretary General,1
50,Legal Adviser,2
51,Secretariat,0
52,Assistant Director,2
53,Clerk,6
54,Official,2
55,Research Student,4
56,Chef de Cabinet,1
57,Lon Duplicator,8
58,Unspecified,0
59,Secretary-Shorthand-Typist,6
60,Copyist,8
61,House Staff,9
62,Reviser,3
63,Driver,9
64,Messenger,7
65,Liftboy,9
66,Office Keeper,8
67,Packer,9
68,Messenger-Clerk,7
69,Electrician,9
70,Assistant Translator,6
71,Cyclist,9
72,Polycopist,8
73,Calligrapher,6
74,Typewriter Mechanic,9
75,Night-watchman,9
76,Press-Cutter,7
77,Concordeur,6
78,Copyholder,7
79,Proof Corrector,6
80,Multigraph Operator,7
81,Secretary Shorthand-Typist,6
82,Gardener,9
83,Furnaceman,9
84,Sorter,6
85,Telephonist,8
86,Concierge,9
87,Guide for visitors,5
88,Service staff,9
89,Assistant Registrar,6
90,Appointed Commissioner-General,2
91,Statistical Clerk,6
92,General,0
93,Registrar General,4
94,Shipping Clerk,9
95,Assistant Statistician,6
96,Private Secretary,4
97,Typist,6
98,Indexer,6
99,Draughtsman,8
100,Liaison Officer,3
101,Field Epidemiologist,2
102,Statistical Assistant,6
103,Clerk Assistant,7
104,French Précis Writer,6
105,Plumber,9
106,Motorcyclist,9
107,Member,2
108,Junior Assistant,7
109,Telephone Operator,9
110,Roneo Operator,8
111,Secretary Stenographer,6
112,Duplicating Operator,7
113,Lift Attendant,9
114,Internal Control Officer,3
115,Duplicator Operator,7
116,Mechanic,9
117,Acting Verbatim-Reporter,6
118,External Legal Adviser,2
119,Collaborator,3
120,Secretary of Section,5
121,Carpenter,9
122,Usher,9
123,Tea Messenger,9
124,Deputy Director,1
125,Specialist,2
126,Deputy Chief,2
127, Translator-Reviser,3
128,Interpreter Reviser,3
129,Bilingual Shorthand-Typist,5
130,Assistant Archivist,6
131,Press Reader,5
132,Acting Office-Keeper,6
133,Travelling Auditor,5
134,Assistant Superintendant,6
135,Clerk Messenger,8
136,Junior Clerical Assistant,7
137,Mécanicien-Serrurier,9
138,Assistant Control Officer,6
139,Assistant Accountant,6
140,Cataloguer,6
141,Clerk Stagiaire ,8
142,First Class Assistant,5
143,Tea Girl,9
144,Financial Officer,2
145,Order Clerk,7
146,Messenger-Cyclist,9
147,English Translating Service,3
148,Tapissier,9
149,Rotaprint Operator,8
150,Relieur,9
151,Junior Clerk,7
152,Head of Service,2
153,Lon Corrector,7
154,Chief Translator,1
155,Chief of Service,1
156,Shorthand Précis Writer,3
157,Cook,9
158,Lector,6
159,Reader,5
160,Inspector-Reviser,4
161,French Translator,3
162,Officer,6
163,Medical Referee,2
164,Manutentionnaire,9
165,Day Watchman,9
166,Assistant Chief,3
167,Driver-mecanician,9
168,Head Driver,8
169,Establishment Clerk,5
170,Senior Clerk Assistant,7
171,Head Cleaner,8
172,Registrar,4
173,Chief Librarian,1
174,Senior Assistant Indexer,5
175,Chief of Office,1
176,Controller,4
177,Guide ,5
178,Chief Accountant,4
179,Nurse,8
180,Medical Commissioner,2
181,Translator-Interpreter,3
182,Superintendant,5
183,Junior Administrative Assistant,7
184,French Press Review,6
185,Junior Cataloguer,7
186,Corrector,8
187,Senior Clerical Assistant,7
188,Member of the Intermediate Class,3
189,Local Engagement,6
190,Consultant,4
191,Attaché,2
192,Temporary Member,2
193,Supervisor,5
194,Technician,9
195,Temporary Proof-Reader,5
196,Appropriation Officer,3
197,Lingère,9
198,Huissier,9
199,Contremaître-mécanicien,4
200,Furniture Remover,9
201,President of the Bureau,0
202,Vice President,0
203,Guard,9
204,Cloakroom Attendant,9
205,Advisor,5
206,Assistant Editor,5
207,Deputy Registrar,2
208,Cashier,8
209,Representative,2
210,Honorary Correspondent,3
211,Book-keeper,7
212,Welfare Officer,3
213,Classeur,6
