"","per_year","year"
"1",47,1920-01-01
"2",50,1921-01-01
"3",51,1922-01-01
"4",53,1923-01-01
"5",54,1924-01-01
"6",54,1925-01-01
"7",54,1926-01-01
"8",53,1927-01-01
"9",53,1928-01-01
"10",53,1929-01-01
"11",53,1930-01-01
"12",54,1931-01-01
"13",56,1932-01-01
"14",56,1933-01-01
"15",57,1934-01-01
"16",56,1935-01-01
"17",55,1936-01-01
"18",52,1937-01-01
"19",49,1938-01-01
"20",47,1939-01-01
"21",41,1940-01-01
"22",37,1941-01-01
"23",37,1942-01-01
"24",36,1943-01-01
"25",36,1944-01-01
"26",36,1945-01-01
"27",36,1946-01-01
"28",36,1947-01-01
"29",36,1948-01-01
