"","pname"
"1"," Albert Dan Meurig Evans"
"2","Alan Ebbutt"
"3","André Ganem"
"4","Anthony Buxton"
"5","Arthur Sweetser"
"6","Avit Samuel Maillet"
"7","Carlos Garcia Palacios"
"8","Carol Albert Dienesch"
"9","Catherine Pastuhov née Ouvaroff"
"10","Cecilia Bernardine Oppenheimer"
"11","Cecily Graham Babington"
"12","Charles Anthony Woodward Manning"
"13","Charles Thadée Marie-Madeleine Oscar Havard"
"14","Christine Bertha Margarethe Mayrhofer"
"15","Clara Slee née Baumann"
"16","Clive Hardy"
"17","Constance Myra Harris"
"18","Constantine Francis MacGuire"
"19","Cristobal Rodriguez"
"20","Dorothea Irene Taylor"
"21","Dorothy Henley"
"22","Dorothy Mary White"
"23","Elaine MacDonald"
"24","Elizabeth Monroe"
"25","Ellen Hart"
"26","Emile Delavenay"
"27","Emily Margaret McDonald"
"28","Eric Ibbetson James"
"29","Ernest Sindefield Harston"
"30","Essy Hjördis Lehmann"
"31","Ethel Fryer Paczensky"
"32","Eugène Henri René  Vigier"
"33","Eva Henriette Aubert"
"34","Felicita Donzelli"
"35","Felicity Amy Palmer"
"36","Franck Louis Schoell"
"37","Gabrielle Juncker-Rohde"
"38","Gabrielle Lippetz-Piccard"
"39","George Douglas Millar"
"40","Georges Léon César Demolon"
"41","Georges Meyer"
"42","Georges Paul Solyom"
"43","Gerald Heguerty Furtado Abraham"
"44","Giuseppe Tani"
"45","Gwenllian Vera Ward"
"46","Helen Joyce Vicary"
"47","Helen Saunders-Foley"
"48","Hélène Frumkin née Bonvalat"
"49","Hélène Potty"
"50","Henriette Charlotte Schlesser"
"51","Henry Reginald Cummings"
"52","Hugh Darvill Watson"
"53","Jacques Jacobus Polak"
"54","James Alistair Brown"
"55","James Lothian"
"56","Jean Allary"
"57","Jean Jacques Auguste Laufer"
"58","Jean Vallery-Radot"
"59","Julienne Christine Piachaud née Mayras"
"60","Karen Neumann"
"61","Karen Petersen"
"62","Katherine Irene Stafford"
"63","Louis Joseph Barlet"
"64","Louis Joxe"
"65","Louise Aimée Mayras"
"66","Lucia Maria Chiovenda"
"67","Luis Varela-Obregoso"
"68","Marguerite Keil"
"69","Maria Zwantje Neeltje Witteveen"
"70","Marie Louise Atzenwiler née Hunt"
"71","Mary Agnes Craig Mcgeachy"
"72","Mary Florence Wilson"
"73","Mrs. Frida Imfeld"
"74","Nancy Williams"
"75","Nokhem/Nahim Sloutzki"
"76","Nora Irene Michell"
"77","Norah Elizabeth Tersea Mary Trangmar née Wright"
"78","Olave Yorke"
"79","Olga Berankova"
"80","Orie Benjamin Gerig"
"81","Oscar Alevi"
"82","Paul Otto Immanuel Hjelt"
"83","Peter René Oscar Bally"
"84","Robert Louis Guillotel"
"85","Romain Jules Godet"
"86","Ruby Norah Figgio"
"87","Setsuichi Aoki"
"88","Sie-Kang"
"89","Signe Johanne Andersen"
"90","Sisir Chandra Basu"
"91","Solon George Xenakis"
"92","Tatiana de Peganow"
"93","Vladimir Dimitrievitch Pastuhov"
"94","Wilfred John Sheard"
"95","William Frederik Augustin Chambers"
"96","Winifred Harvie Duncan"
"97","Winifred Mary White née Hodgson"
"98","Yulau Tcheng"
