"","Year","number_of_scandis"
"1",1919-01-01,1
"2",1920-01-01,4
"3",1921-01-01,7
"4",1922-01-01,7
"5",1923-01-01,8
"6",1924-01-01,9
"7",1925-01-01,8
"8",1926-01-01,8
"9",1927-01-01,8
"10",1928-01-01,8
"11",1929-01-01,7
"12",1930-01-01,7
"13",1931-01-01,9
"14",1932-01-01,8
"15",1933-01-01,8
"16",1934-01-01,7
"17",1935-01-01,7
"18",1936-01-01,8
"19",1937-01-01,8
"20",1938-01-01,9
"21",1939-01-01,10
"22",1940-01-01,5
"23",1941-01-01,4
"24",1942-01-01,4
"25",1943-01-01,3
"26",1944-01-01,3
"27",1945-01-01,4
"28",1946-01-01,4
